2024-01-04 21:46:54,Person 346,towards up
2024-01-04 21:46:54,Person 363,towards down
2024-01-04 21:46:55,Person 363,towards up
2024-01-04 21:46:55,Person 360,towards up
2024-01-04 21:46:58,Person 364,towards up
2024-01-04 21:46:58,Person 370,towards down
2024-01-04 21:47:04,Person 371,towards down
2024-01-04 21:47:06,Person 374,towards up
2024-01-04 21:47:06,Person 368,towards up
2024-01-04 21:47:07,Person 379,towards up
2024-01-04 21:47:08,Person 369,towards down
2024-01-04 21:47:08,Person 380,towards down
2024-01-04 21:47:12,Person 393,towards down
2024-01-04 21:47:13,Person 372,towards up
2024-01-04 21:47:14,Person 396,towards down
2024-01-04 21:47:14,Person 385,towards up
2024-01-04 21:47:14,Person 388,towards up
2024-01-04 21:47:14,Person 376,towards up
2024-01-04 21:47:14,Person 384,towards up
2024-01-04 21:47:17,Person 400,towards down
2024-01-04 21:47:20,Person 411,towards up
2024-01-04 21:47:21,Person 403,towards up
2024-01-04 21:47:24,Person 409,towards up
2024-01-04 21:47:24,Person 409,towards down
2024-01-04 21:47:28,Person 368,towards down
2024-01-04 21:47:28,Person 407,towards down
2024-01-04 21:47:33,Person 412,towards up
2024-01-04 21:47:34,Person 419,towards down
2024-01-04 21:47:34,Person 415,towards down
2024-01-04 21:47:35,Person 417,towards up
2024-01-04 21:47:35,Person 425,towards up
2024-01-04 21:47:38,Person 427,towards down
2024-01-04 21:47:42,Person 435,towards down
2024-01-04 21:47:42,Person 428,towards up
2024-01-04 21:47:44,Person 434,towards up
2024-01-04 21:47:44,Person 433,towards up
2024-01-04 21:47:46,Person 438,towards down
2024-01-04 21:47:49,Person 442,towards up
2024-01-04 21:47:49,Person 437,towards up
2024-01-04 21:47:57,Person 412,towards down
2024-01-04 21:47:57,Person 447,towards down
2024-01-04 21:47:58,Person 444,towards up
2024-01-04 21:47:58,Person 446,towards up
2024-01-04 21:48:00,Person 448,towards up
2024-01-04 21:48:01,Person 443,towards down
2024-01-04 21:48:01,Person 450,towards down
2024-01-04 21:48:02,Person 461,towards down
2024-01-04 21:48:04,Person 455,towards up
2024-01-04 21:48:05,Person 458,towards down
2024-01-04 21:48:09,Person 464,towards down
2024-01-04 21:48:09,Person 462,towards down
2024-01-04 21:48:10,Person 459,towards down
2024-01-04 21:48:12,Person 467,towards down
2024-01-04 21:48:13,Person 466,towards up
2024-01-04 21:48:13,Person 453,towards up
2024-01-04 21:48:14,Person 465,towards up
2024-01-04 21:48:15,Person 486,towards down
2024-01-04 21:48:18,Person 470,towards up
2024-01-04 21:48:19,Person 480,towards down
2024-01-04 21:48:21,Person 478,towards down
2024-01-04 21:48:21,Person 481,towards up
2024-01-04 21:48:22,Person 489,towards down
2024-01-04 21:48:23,Person 493,towards down
2024-01-04 21:48:27,Person 450,towards up
2024-01-04 21:48:28,Person 500,towards down
2024-01-04 21:48:28,Person 500,towards up
2024-01-04 21:48:29,Person 500,towards down
2024-01-04 21:48:32,Person 514,towards down
2024-01-04 21:58:57,Person 5,towards up
2024-01-04 21:58:57,Person 7,towards up
2024-01-04 21:59:01,Person 16,towards up
2024-01-04 21:59:01,Person 18,towards down
2024-01-04 21:59:06,Person 14,towards up
2024-01-04 21:59:08,Person 19,towards down
2024-01-04 21:59:12,Person 22,towards up
2024-01-04 21:59:12,Person 20,towards up
2024-01-04 21:59:14,Person 24,towards up
2024-01-04 21:59:15,Person 23,towards up
2024-01-04 21:59:16,Person 28,towards up
2024-01-04 21:59:18,Person 30,towards down
2024-01-04 21:59:19,Person 25,towards up
2024-01-04 21:59:19,Person 30,towards up
2024-01-04 21:59:19,Person 32,towards up
2024-01-04 21:59:19,Person 30,towards down
2024-01-04 22:00:36,Person 14,towards up
2024-01-04 22:00:36,Person 20,towards down
2024-01-04 22:00:41,Person 23,towards up
2024-01-04 22:00:42,Person 21,towards up
2024-01-04 22:00:43,Person 26,towards up
2024-01-04 22:00:45,Person 24,towards up
2024-01-04 22:00:46,Person 30,towards up
2024-01-04 22:00:47,Person 32,towards down
2024-01-04 22:00:48,Person 34,towards up
2024-01-04 22:00:49,Person 29,towards up
2024-01-04 22:00:49,Person 27,towards up
2024-01-04 22:00:50,Person 22,towards down
2024-01-04 22:00:52,Person 35,towards down
2024-01-04 22:00:52,Person 31,towards up
2024-01-04 22:00:52,Person 33,towards up
2024-01-04 22:00:54,Person 37,towards up
2024-01-04 22:04:46,Person 5,towards up
2024-01-04 22:04:48,Person 7,towards up
2024-01-04 22:04:51,Person 16,towards up
2024-01-04 22:04:56,Person 20,towards down
2024-01-04 22:04:57,Person 14,towards up
2024-01-04 22:05:27,Person 5,towards up
2024-01-04 22:05:31,Person 7,towards up
2024-01-04 22:05:34,Person 16,towards up
2024-01-04 22:05:38,Person 19,towards down
2024-01-04 22:05:40,Person 14,towards up
2024-01-04 22:05:40,Person 25,towards up
2024-01-04 22:05:45,Person 20,towards up
2024-01-04 22:05:47,Person 26,towards up
2024-01-04 22:05:48,Person 24,towards up
2024-01-04 22:05:51,Person 23,towards down
2024-01-04 22:05:52,Person 33,towards up
2024-01-04 22:05:52,Person 27,towards up
2024-01-04 22:05:53,Person 28,towards up
